#Angle potential for harmonic

ANGLE1
N 1001

0 0 226.52169022039806 4.334928527804
1 0.18 225.7420750387198 4.327462379732
2 0.36 224.96380376369456 4.31999623166
3 0.54 224.18687639532217 4.312530083588
4 0.72 223.41129293360285 4.305063935516
5 0.8999999999999999 222.63705337853645 4.297597787444
6 1.08 221.86415773012303 4.290131639372
7 1.26 221.09260598836252 4.2826654913
8 1.44 220.32239815325502 4.275199343228
9 1.6199999999999999 219.55353422480044 4.2677331951560005
10 1.7999999999999998 218.78601420299887 4.2602670470840005
11 1.98 218.01983808785022 4.2528008990120005
12 2.16 217.25500587935454 4.245334750940001
13 2.34 216.4915175775118 4.237868602868001
14 2.52 215.72937318232206 4.230402454796001
15 2.6999999999999997 214.96857269378526 4.222936306724001
16 2.88 214.20911611190144 4.215470158652001
17 3.06 213.45100343667053 4.208004010580001
18 3.2399999999999998 212.69423466809263 4.200537862508001
19 3.42 211.93880980616765 4.193071714436001
20 3.5999999999999996 211.18472885089568 4.185605566364001
21 3.78 210.4319918022766 4.178139418292001
22 3.96 209.68059866031055 4.170673270220001
23 4.14 208.93054942499742 4.163207122148
24 4.32 208.18184409633722 4.155740974076
25 4.5 207.43448267433007 4.148274826004
26 4.68 206.68846515897584 4.140808677932001
27 4.859999999999999 205.94379155027454 4.13334252986
28 5.04 205.20046184822618 4.125876381788
29 5.22 204.45847605283086 4.118410233716
30 5.3999999999999995 203.71783416408846 4.110944085644
31 5.58 202.978536181999 4.103477937572
32 5.76 202.24058210656253 4.0960117895
33 5.9399999999999995 201.503971937779 4.088545641428
34 6.12 200.76870567564842 4.081079493356
35 6.3 200.03478332017085 4.073613345284
36 6.4799999999999995 199.3022048713462 4.0661471972120005
37 6.66 198.57097032917454 4.0586810491400005
38 6.84 197.84107969365581 4.0512149010680005
39 7.02 197.1125329647901 4.043748752996001
40 7.199999999999999 196.38533014257723 4.036282604924001
41 7.38 195.65947122701743 4.028816456852001
42 7.56 194.9349562181105 4.021350308780001
43 7.739999999999999 194.21178511585663 4.013884160708001
44 7.92 193.48995792025562 4.006418012636001
45 8.1 192.76947463130767 3.9989518645640008
46 8.28 192.0503352490126 3.9914857164920003
47 8.459999999999999 191.33253977337057 3.984019568420001
48 8.64 190.6160882043814 3.9765534203480004
49 8.82 189.90098054204523 3.969087272276
50 9 189.18721678636206 3.9616211242040005
51 9.18 188.47479693733183 3.954154976132001
52 9.36 187.76372099495453 3.9466888280600005
53 9.54 187.0539889592302 3.939222679988
54 9.719999999999999 186.34560083015887 3.9317565319160006
55 9.9 185.63855660774044 3.924290383844
56 10.08 184.93285629197504 3.9168242357720007
57 10.26 184.2284998828625 3.9093580877000003
58 10.44 183.52548738040304 3.9018919396280007
59 10.62 182.82381878459643 3.8944257915560003
60 10.799999999999999 182.12349409544285 3.886959643484001
61 10.98 181.4245133129422 3.8794934954120004
62 11.16 180.72687643709455 3.8720273473400004
63 11.34 180.0305834678998 3.8645611992680005
64 11.52 179.3356344053581 3.8570950511960005
65 11.7 178.64202924946926 3.8496289031240005
66 11.879999999999999 177.94976800023343 3.8421627550520006
67 12.059999999999999 177.25885065765053 3.8346966069800006
68 12.24 176.56927722172063 3.8272304589080006
69 12.42 175.88104769244364 3.819764310836
70 12.6 175.19416206981967 3.8122981627640007
71 12.78 174.5086203538486 3.8048320146920003
72 12.959999999999999 173.82442254453056 3.7973658666200008
73 13.139999999999999 173.14156864186543 3.7898997185480003
74 13.32 172.46005864585322 3.7824335704760004
75 13.5 171.77989255649405 3.7749674224040004
76 13.68 171.10107037378785 3.767501274332001
77 13.86 170.4235920977345 3.7600351262600005
78 14.04 169.74745772833418 3.752568978188
79 14.219999999999999 169.07266726558686 3.7451028301160005
80 14.399999999999999 168.39922070949248 3.737636682044001
81 14.58 167.72711806005103 3.7301705339720006
82 14.76 167.05635931726252 3.7227043859
83 14.94 166.38694448112702 3.7152382378280007
84 15.12 165.71887355164444 3.7077720897560003
85 15.299999999999999 165.05214652881486 3.7003059416840007
86 15.479999999999999 164.3867634126382 3.6928397936120003
87 15.66 163.72272420311452 3.685373645540001
88 15.84 163.0600289002438 3.6779074974680004
89 16.02 162.39867750402607 3.6704413493960004
90 16.2 161.73867001446123 3.6629752013240005
91 16.38 161.08000643154944 3.6555090532520005
92 16.56 160.42268675529053 3.6480429051800005
93 16.74 159.76671098568463 3.6405767571080005
94 16.919999999999998 159.11207912273164 3.6331106090360006
95 17.099999999999998 158.45879116643167 3.6256444609640006
96 17.28 157.8068471167846 3.618178312892
97 17.46 157.15624697379056 3.6107121648200007
98 17.64 156.5069907374494 3.6032460167480003
99 17.82 155.85907840776122 3.5957798686760003
100 18 155.21250998472604 3.5883137206040003
101 18.18 154.56728546834384 3.580847572532001
102 18.36 153.92340485861453 3.5733814244600004
103 18.54 153.2808681555382 3.565915276388
104 18.72 152.63967535911485 3.5584491283160005
105 18.9 151.99982646934447 3.550982980244001
106 19.08 151.361321486227 3.5435168321720005
107 19.259999999999998 150.7241604097625 3.5360506841
108 19.439999999999998 150.08834323995103 3.5285845360280006
109 19.62 149.45386997679242 3.521118387956
110 19.8 148.82074062028687 3.5136522398840007
111 19.98 148.1889551704342 3.5061860918120002
112 20.16 147.55851362723453 3.4987199437400007
113 20.34 146.9294159906878 3.4912537956680003
114 20.52 146.30166226079407 3.483787647596001
115 20.7 145.67525243755324 3.4763214995240004
116 20.88 145.0501865209654 3.4688553514520004
117 21.06 144.4264645110305 3.4613892033800004
118 21.24 143.80408640774863 3.4539230553080005
119 21.419999999999998 143.18305221111964 3.4464569072360005
120 21.599999999999998 142.56336192114367 3.4389907591640005
121 21.779999999999998 141.9450155378206 3.4315246110920006
122 21.96 141.32801306115056 3.4240584630200006
123 22.14 140.7123544911334 3.416592314948
124 22.32 140.0980398277692 3.4091261668760002
125 22.5 139.48506907105804 3.4016600188040003
126 22.68 138.87344222099983 3.3941938707320007
127 22.86 138.26315927759453 3.3867277226600003
128 23.04 137.6542202408422 3.3792615745880004
129 23.22 137.04662511074287 3.3717954265160004
130 23.4 136.4403738872965 3.364329278444001
131 23.58 135.835466570503 3.3568631303720005
132 23.759999999999998 135.23190316036252 3.3493969823
133 23.939999999999998 134.62968365687502 3.3419308342280005
134 24.119999999999997 134.0288080600405 3.334464686156001
135 24.3 133.42927636985885 3.3269985380840006
136 24.48 132.8310885863302 3.319532390012
137 24.66 132.23424470945452 3.3120662419400007
138 24.84 131.63874473923178 3.3046000938680002
139 25.02 131.04458867566206 3.2971339457960007
140 25.2 130.45177651874522 3.2896677977240003
141 25.38 129.86030826848142 3.282201649652001
142 25.56 129.27018392487054 3.2747355015800004
143 25.74 128.6814034879126 3.267269353508001
144 25.919999999999998 128.09396695760762 3.2598032054360004
145 26.099999999999998 127.50787433395567 3.2523370573640005
146 26.279999999999998 126.9231256169566 3.2448709092920005
147 26.459999999999997 126.33972080661054 3.2374047612200005
148 26.64 125.75765990291741 3.2299386131480006
149 26.82 125.17694290587723 3.222472465076
150 27 124.59756981549003 3.2150063170040006
151 27.18 124.01954063175582 3.2075401689320007
152 27.36 123.44285535467453 3.2000740208600003
153 27.54 122.86751398424619 3.1926078727880003
154 27.72 122.29351652047085 3.1851417247160003
155 27.9 121.72086296334847 3.177675576644001
156 28.08 121.14955331287901 3.1702094285720004
157 28.259999999999998 120.57958756906251 3.1627432805000004
158 28.439999999999998 120.010965731899 3.1552771324280005
159 28.619999999999997 119.44368780138848 3.147810984356001
160 28.799999999999997 118.87775377753086 3.1403448362840005
161 28.98 118.31316366032618 3.132878688212
162 29.16 117.74991744977453 3.1254125401400006
163 29.34 117.1880151458758 3.117946392068
164 29.52 116.62745674863005 3.1104802439960006
165 29.7 116.06824225803723 3.1030140959240002
166 29.88 115.51037167409741 3.0955479478520007
167 30.06 114.95384499681052 3.0880817997800003
168 30.24 114.39866222617661 3.080615651708001
169 30.419999999999998 113.84482336219564 3.0731495036360004
170 30.599999999999998 113.29232840486765 3.065683355564001
171 30.779999999999998 112.7411773541926 3.0582172074920004
172 30.959999999999997 112.19137021017055 3.0507510594200005
173 31.14 111.6429069728014 3.0432849113480005
174 31.32 111.09578764208523 3.035818763276
175 31.5 110.55001221802205 3.0283526152040006
176 31.68 110.00558070061182 3.0208864671320006
177 31.86 109.46249308985453 3.0134203190600006
178 32.04 108.92074938575018 3.005954170988
179 32.22 108.38034958829886 2.9984880229160003
180 32.4 107.84129369750046 2.9910218748440007
181 32.58 107.303581713355 2.9835557267720003
182 32.76 106.7672136358625 2.9760895787000003
183 32.94 106.23218946502301 2.9686234306280004
184 33.12 105.69850920083647 2.961157282556001
185 33.3 105.16617284330285 2.9536911344840004
186 33.48 104.63518039242219 2.946224986412
187 33.66 104.10553184819452 2.9387588383400005
188 33.839999999999996 103.57722721061984 2.931292690268001
189 34.019999999999996 103.05026647969805 2.9238265421960006
190 34.199999999999996 102.52464965542923 2.916360394124
191 34.379999999999995 102.00037673781341 2.9088942460520006
192 34.56 101.47744772685051 2.9014280979800002
193 34.74 100.95586262254062 2.8939619499080007
194 34.92 100.43562142488364 2.8864958018360003
195 35.1 99.91672413387963 2.879029653764
196 35.28 99.3991707495286 2.8715635056920004
197 35.46 98.88296127183055 2.864097357620001
198 35.64 98.3680957007854 2.8566312095480004
199 35.82 97.85457403639323 2.849165061476
200 36 97.34239627865405 2.8416989134040005
201 36.18 96.83156242756783 2.8342327653320005
202 36.36 96.32207248313452 2.8267666172600006
203 36.54 95.81392644535418 2.819300469188
204 36.72 95.30712431422684 2.8118343211160006
205 36.9 94.80166608975247 2.8043681730440007
206 37.08 94.29755177193101 2.7969020249720007
207 37.26 93.7947813607625 2.7894358769000003
208 37.44 93.293354856247 2.7819697288280003
209 37.62 92.79327225838446 2.774503580756001
210 37.8 92.29453356717485 2.7670374326840004
211 37.98 91.79713878261818 2.7595712846120004
212 38.16 91.30108790471454 2.7521051365400004
213 38.339999999999996 90.80638093346381 2.744638988468001
214 38.519999999999996 90.31301786886605 2.7371728403960005
215 38.699999999999996 89.82099871092123 2.729706692324
216 38.879999999999995 89.33032345962941 2.7222405442520006
217 39.059999999999995 88.84099211499056 2.714774396180001
218 39.24 88.35300467700462 2.7073082481080006
219 39.42 87.86636114567165 2.6998421000360002
220 39.6 87.38106152099161 2.6923759519640003
221 39.78 86.8971058029646 2.6849098038920003
222 39.96 86.41449399159053 2.6774436558200008
223 40.14 85.93322608686941 2.6699775077480004
224 40.32 85.45330208880122 2.662511359676
225 40.5 84.97472199738604 2.6550452116040004
226 40.68 84.4974858126238 2.6475790635320005
227 40.86 84.02159353451452 2.6401129154600005
228 41.04 83.5470451630582 2.6326467673880005
229 41.22 83.07384069825484 2.6251806193160006
230 41.4 82.60198014010444 2.6177144712440006
231 41.58 82.131463488607 2.6102483231720006
232 41.76 81.66229074376253 2.6027821751000007
233 41.94 81.194461905571 2.5953160270280007
234 42.12 80.72797697403244 2.5878498789560003
235 42.3 80.26283594914685 2.5803837308840003
236 42.48 79.79903883091421 2.5729175828120003
237 42.66 79.33658561933453 2.5654514347400004
238 42.839999999999996 78.8754763144078 2.5579852866680004
239 43.019999999999996 78.41571091613405 2.5505191385960004
240 43.199999999999996 77.95728942451325 2.5430529905240005
241 43.379999999999995 77.50021183954541 2.5355868424520005
242 43.559999999999995 77.04447816123053 2.5281206943800005
243 43.739999999999995 76.5900883895686 2.5206545463080006
244 43.92 76.13704252455963 2.513188398236
245 44.1 75.68534056620364 2.505722250164
246 44.28 75.2349825145006 2.498256102092
247 44.46 74.78596836945052 2.4907899540200003
248 44.64 74.33829813105339 2.4833238059480003
249 44.82 73.89197179930923 2.4758576578760003
250 45 73.44698937421803 2.4683915098040003
251 45.18 73.0033508557798 2.4609253617320004
252 45.36 72.56105624399451 2.4534592136600004
253 45.54 72.12010553886219 2.4459930655880004
254 45.72 71.68049874038284 2.4385269175160005
255 45.9 71.24223584855643 2.4310607694440005
256 46.08 70.805316863383 2.4235946213720005
257 46.26 70.36974178486253 2.4161284733000006
258 46.44 69.935510612995 2.4086623252280006
259 46.62 69.50262334778044 2.4011961771560006
260 46.8 69.07107998921884 2.3937300290840007
261 46.98 68.6408805373102 2.3862638810120007
262 47.16 68.21202499205452 2.3787977329400003
263 47.339999999999996 67.7845133534518 2.3713315848680003
264 47.519999999999996 67.35834562150205 2.3638654367960004
265 47.699999999999996 66.93352179620524 2.3563992887240004
266 47.879999999999995 66.5100418775614 2.3489331406520004
267 48.059999999999995 66.08790586557053 2.3414669925800005
268 48.239999999999995 65.66711376023261 2.3340008445080005
269 48.42 65.24766556154763 2.326534696436
270 48.6 64.82956126951564 2.319068548364
271 48.78 64.41280088413659 2.311602400292
272 48.96 63.99738440541052 2.30413625222
273 49.14 63.5833118333374 2.296670104148
274 49.32 63.17058316791723 2.2892039560760002
275 49.5 62.75919840915004 2.2817378080040003
276 49.68 62.349157557035795 2.2742716599320003
277 49.86 61.940460611574515 2.2668055118600003
278 50.04 61.53310757276619 2.2593393637880004
279 50.22 61.12709844061084 2.2518732157160004
280 50.4 60.72243321510843 2.2444070676440004
281 50.58 60.319111896259 2.2369409195720005
282 50.76 59.91713448406252 2.2294747715000005
283 50.94 59.516500978519 2.2220086234280005
284 51.12 59.11721137962844 2.2145424753560006
285 51.3 58.71926568739084 2.2070763272840006
286 51.48 58.3226639018062 2.1996101792120006
287 51.66 57.92740602287452 2.1921440311400007
288 51.839999999999996 57.533492050595804 2.1846778830680007
289 52.019999999999996 57.14092198497004 2.1772117349960007
290 52.199999999999996 56.74969582599724 2.1697455869240003
291 52.379999999999995 56.35981357367741 2.1622794388520004
292 52.559999999999995 55.971275228010526 2.1548132907800004
293 52.739999999999995 55.5840807889966 2.1473471427080004
294 52.919999999999995 55.19823025663564 2.1398809946360005
295 53.1 54.81372363092763 2.1324148465640005
296 53.28 54.4305609118726 2.1249486984920005
297 53.46 54.04874209947051 2.11748255042
298 53.64 53.66826719372139 2.110016402348
299 53.82 53.28913619462523 2.102550254276
300 54 52.91134910218203 2.095084106204
301 54.18 52.5349059163918 2.0876179581320002
302 54.36 52.15980663725451 2.0801518100600003
303 54.54 51.786051264770194 2.0726856619880003
304 54.72 51.41363979893883 2.0652195139160003
305 54.9 51.04257223976044 2.0577533658440004
306 55.08 50.672848587234995 2.0502872177720004
307 55.26 50.30446884136252 2.0428210697000004
308 55.44 49.937433002143 2.0353549216280005
309 55.62 49.57174106957643 2.0278887735560005
310 55.8 49.20739304366284 2.0204226254840005
